iter	Logloss
216	0.5148636735
217	0.5146970378
218	0.5144709714
219	0.5142809512
220	0.5140935174
221	0.5139262297
222	0.513726456
223	0.5135588878
224	0.5134049358
225	0.51319811
226	0.5130479997
227	0.5129019613
228	0.5126891381
229	0.5125083867
230	0.5123736642
231	0.5122324778
232	0.5120760877
233	0.511863502
234	0.5117005265
235	0.511540043
236	0.5113769057
237	0.5112411749
238	0.5110722459
239	0.5109385454
240	0.5108145266
241	0.510675026
242	0.5105098861
243	0.5103306215
244	0.510163342
245	0.5100058384
246	0.509868921
247	0.509685044
248	0.5095405958
249	0.5094251703
250	0.5092589571
251	0.5090928982
252	0.5089605226
253	0.5088694933
254	0.508742154
255	0.5085964226
256	0.508431028
257	0.508269274
258	0.508130091
259	0.508017368
260	0.5078598128
261	0.5077533036
262	0.507601641
263	0.5074497647
264	0.5073252765
265	0.5071771669
266	0.5070701831
267	0.5069302374
268	0.506794907
269	0.5066980967
270	0.5065952306
271	0.5064767384
272	0.5063356923
273	0.5061779797
274	0.5060785008
275	0.5060008088
276	0.5058900549
277	0.5057762083
278	0.5056419709
279	0.5055320522
280	0.5053532841
281	0.5052556081
282	0.5051972865
283	0.5050566149
284	0.5049329705
285	0.5048583264
286	0.50477593
287	0.5046299111
288	0.5045223596
289	0.5043874836
290	0.5043042493
291	0.5041966489
292	0.5040960114
293	0.5040078873
294	0.5038960541
295	0.5037994667
296	0.5037305426
297	0.503645424
298	0.5035410894
299	0.5034060134
300	0.5032821909
301	0.5031737497
302	0.5030748722
303	0.5029964187
304	0.5029068251
305	0.5028254573
306	0.5027136653
307	0.5026600396
308	0.5025799132
309	0.502474907
310	0.502420079
311	0.5023613292
312	0.5022680711
313	0.5021761792
314	0.502057521
315	0.5019427343
316	0.5018177749
317	0.5017075077
318	0.5016205991
319	0.5015453824
320	0.5014354505
321	0.5013749339
322	0.501335602
323	0.5012133257
324	0.501145279
325	0.5010572385
326	0.5009891348
327	0.5008904397
328	0.5008102287
329	0.5007371339
330	0.5006649366
331	0.5006034964
332	0.5005234154
333	0.5003995988
334	0.5003168751
335	0.5002206345
336	0.5001221851
337	0.5000442817
338	0.4999523129
339	0.4998370582
340	0.4997259846
341	0.4996334284
342	0.4995610977
343	0.4994960641
344	0.4994322972
345	0.4993095186
346	0.4992360186
347	0.4991610345
348	0.4990533174
349	0.4989283829
350	0.4988548414
351	0.4987853558
352	0.4987210371
353	0.4986517494
354	0.4985759058
355	0.4985002354
356	0.4984360166
